50003,50003
50004,50004
50005,50005
50006,50006
50007,50007
50008,50008
50010,50010
50011,50011
50012,50012
50013,50013
50014,50014
50015,50015
50016,50016
50020,50020
50022,50022
50023,50023
50024,50024
50025,50025
50026,50026
50027,50027
50028,50028
50030,50030
50031,50031
50032,50032
50033,50033
50034,50034
50035,50035
50036,50036
50037,50037
50038,50038
50039,50039
50040,50040
50041,50041
50042,50042
50043,50043
50044,50044
50045,50045
50046,50046
50047,50047
50048,50048
50049,50049
50050,50050
50051,50051
50052,50052
50053,50053
50054,50054
50056,50056
50057,50057
50059,50059
50060,50060
50102,50102
50103,50103
50104,50104
50105,50105
50106,50106
50107,50107
50109,50109
50111,50111
50112,50112
50113,50113
50114,50114
50115,50115
50116,50116
50117,50117
50118,50118
50119,50119
50121,50121
50123,50123
50124,50124
50125,50125
50127,50127
50128,50128
50129,50129
50130,50130
50131,50131
50132,50132
50134,50134
50135,50135
50182,50182
50183,50183
50184,50184
50186,50186
50187,50187
50189,50189
50190,50190
50193,50193
50194,50194
50195,50195
50196,50196
50198,50198
50199,50199
50200,50200
50201,50201
50202,50202
50203,50203
50204,50204
50205,50205
50206,50206
50208,50208
50210,50210
50213,50213
50214,50214
50215,50215
50217,50217
50232,50232
50233,50233
50234,50234
50236,50236
50237,50237
50239,50239
50240,50240
50241,50241
50243,50243
50245,50245
50247,50247
50248,50248
50249,50249
50250,50250
50251,50251
50252,50252
50253,50253
50254,50254
50255,50255
50257,50257
50259,50259
50260,50260
50261,50261
50262,50262
50263,50263
50264,50264
50265,50265
50266,50266
50267,50267
50268,50268
50269,50269
50270,50270
50271,50271
50272,50272
50273,50273
50274,50274
50275,50275
50276,50276
50278,50278
50282,50282
50284,50284
50285,50285
50287,50287
50289,50289
50290,50290
50291,50291
50292,50292
50293,50293
50294,50294
50295,50295
50298,50298
50300,50300
50301,50301
50304,50304
50308,50308
50310,50310
50312,50312
50314,50314
50315,50315
50318,50318
50319,50319
50320,50320
50321,50321
50324,50324
50325,50325
50327,50327
50329,50329
50330,50330
50331,50331
50332,50332
50333,50333
50334,50334
50335,50335
50336,50336
50337,50337
50338,50338
50339,50339
50340,50340
50341,50341
50342,50342
50343,50343
50344,50344
50345,50345
50346,50346
50347,50347
50348,50348
50349,50349
50350,50350
50351,50351
50352,50352
50353,50353
50354,50354
50355,50355
50356,50356
50357,50357
50358,50358
50359,50359
50360,50360
50361,50361
50362,50362
50363,50363
50364,50364
50365,50365
50366,50366
50367,50367
50368,50368
50370,50370
50372,50372
50373,50373
50374,50374
50375,50375
50376,50376
50377,50377
50379,50379
50380,50380
50381,50381
50382,50382
50383,50383
50385,50385
50386,50386
50387,50387
50388,50388
50390,50390
50391,50391
50397,50397
50399,50399
50402,50402
50403,50403
50404,50404
50405,50405
50406,50406
50407,50407
50408,50408
50410,50410
50411,50411
50412,50412
50413,50413
50414,50414
50415,50415
50416,50416
50417,50417
50418,50418
50419,50419
50421,50421
50422,50422
50424,50424
50425,50425
50426,50426
50427,50427
50428,50428
50433,50433
50434,50434
50435,50435
50436,50436
50437,50437
50438,50438
50439,50439
50440,50440
50441,50441
50442,50442
50443,50443
50444,50444
50445,50445
50446,50446
50447,50447
50448,50448
50449,50449
50453,50453
50463,50463
50466,50466
50467,50467
50468,50468
50469,50469
50470,50470
50480,50480
50481,50481
50482,50482
50483,50483
50485,50485
50486,50486
50487,50487
50488,50488
50490,50490
50491,50491
50492,50492
50493,50493
50494,50494
50496,50496
50497,50497
50498,50498
50499,50499
50500,50500
50501,50501
50502,50502
50503,50503
50504,50504
50507,50507
50509,50509
50510,50510
50514,50514
50515,50515
50516,50516
50518,50518
50519,50519
50520,50520
50521,50521
50523,50523
50524,50524
50525,50525
50526,50526
50527,50527
50528,50528
50529,50529
50530,50530
50531,50531
50532,50532
50551,50551
50552,50552
50555,50555
50557,50557
50558,50558
50561,50561
50563,50563
50565,50565
50568,50568
50569,50569
50570,50570
50571,50571
50572,50572
50573,50573
50574,50574
50575,50575
50576,50576
50577,50577
50578,50578
50601,50601
50602,50602
50603,50603
50604,50604
50606,50606
50607,50607
50608,50608
50612,50612
50613,50613
50614,50614
50615,50615
50616,50616
50619,50619
50620,50620
50621,50621
50622,50622
50623,50623
50624,50624
50625,50625
50626,50626
50627,50627
50628,50628
50642,50642
50644,50644
50647,50647
50648,50648
50649,50649
50654,50654
50656,50656
50659,50659
50664,50664
50665,50665
50669,50669
50682,50682
50683,50683
50685,50685
50686,50686
50687,50687
50688,50688
50689,50689
50690,50690
50691,50691
50692,50692
50693,50693
50694,50694
50695,50695
50696,50696
50697,50697
50698,50698
50699,50699
50700,50700
50701,50701
50702,50702
50703,50703
50704,50704
50705,50705
50706,50706
50707,50707
50708,50708
50709,50709
50711,50711
50722,50722
50723,50723
50724,50724
50725,50725
50726,50726
50728,50728
50730,50730
50731,50731
50733,50733
50735,50735
50737,50737
50738,50738
50739,50739
50740,50740
50741,50741
50742,50742
50743,50743
50744,50744
50745,50745
50748,50748
50749,50749
50750,50750
50751,50751
50752,50752
50754,50754
50755,50755
50756,50756
50757,50757
50772,50772
50773,50773
50774,50774
50775,50775
50776,50776
50777,50777
50778,50778
50780,50780
50781,50781
50782,50782
50783,50783
50786,50786
50790,50790
50791,50791
50792,50792
50796,50796
50797,50797
50798,50798
50799,50799
50800,50800
50801,50801
50803,50803
50807,50807
50812,50812
50814,50814
50816,50816
50817,50817
50818,50818
50820,50820
50821,50821
50822,50822
50823,50823
50824,50824
50952,50952
50954,50954
50955,50955
50956,50956
50957,50957
50958,50958
50959,50959
50960,50960
50961,50961
50962,50962
50964,50964
50965,50965
50966,50966
50967,50967
50968,50968
50969,50969
50970,50970
50972,50972
50973,50973
50974,50974
50976,50976
50977,50977
50978,50978
50979,50979
50981,50981
50982,50982
50983,50983
50984,50984
50985,50985
50986,50986
50987,50987
50988,50988
50989,50989
50990,50990
50991,50991
50992,50992
50993,50993
50994,50994
50995,50995
50996,50996
50997,50997
50999,50999
51000,51000
51001,51001
51002,51002
51003,51003
51006,51006
51007,51007
51008,51008
51009,51009
51010,51010
51011,51011
51012,51012
51013,51013
51014,51014
51015,51015
51016,51016
51017,51017
51018,51018
51019,51019
51020,51020
51021,51021
51023,51023
51024,51024
51025,51025
51026,51026
51027,51027
51028,51028
51029,51029
51030,51030
51032,51032
51033,51033
51034,51034
51035,51035
51036,51036
51038,51038
51039,51039
51040,51040
51041,51041
51042,51042
51044,51044
51045,51045
51046,51046
51047,51047
51048,51048
51049,51049
51050,51050
51051,51051
51052,51052
51053,51053
51054,51054
51055,51055
51056,51056
51057,51057
51058,51058
51059,51059
51060,51060
51061,51061
51062,51062
51063,51063
51064,51064
51065,51065
51066,51066
51067,51067
51068,51068
51069,51069
51070,51070
51072,51072
51073,51073
51074,51074
51075,51075
51076,51076
51077,51077
51078,51078
51079,51079
51080,51080
51081,51081
51082,51082
51083,51083
51084,51084
